Title,Genre,Runtime (mins),Language,Total Hours,Total Views,Release Date,Year,IMDb Rating,Metascore,Directors,Star1,Star2,Star3,Age_Rating,Num Votes,Budget ($)
The Starling,Comedy-Drama,104,English,36800000,21200000,24/09/2021,2021,6.4,31,Theodore Melfi,Melissa McCarthy,Chris O'Dowd,Timothy Olyphant,PG-13,14519,10000000
No One Gets Out Alive,Horror,85,English,17010000,12000000,29/09/2021,2021,5.4,43,Santiago Menghini,Phil Robertson,Joana Borja,Cristina Rodlo,R,19028,3000000
Forever Rich,Thriller,90,Dutch,4550000,3000000,01/10/2021,2021,5.6,,Shady El-Hamus,Matteo van der Grijn,Hadewych Minis,Sinem Kavus,15,1424,5000000
The Guilty,Thriller,91,English,106870000,70500000,01/10/2021,2021,6.3,63,Antoine Fuqua,Jake Gyllenhaal,Riley Keough,Christina Vidal,R,138446,15000000
There's Someone Inside Your House,Horror,96,English,27860000,17400000,06/10/2021,2021,4.9,45,Patrick Brice,Sydney Park,Theodore Pellerin,Dale Whibley,15,18370,7000000
Night Teeth,Thriller,108,English,48880000,27200000,20/10/2021,2021,5.7,42,Adam Randall,Jorge Lendeborg Jr.,Debby Ryan,Raul Castillo,PG-13,20280,21700000
Hypnotic,Thriller,89,English,35760000,24100000,27/10/2021,2021,5.3,32,Matt Angel,Kate Siegel,Jason O'Mara,Dule Hill,PG-13,18495,7000000
Army of Thieves,Thriller,129,English,154070000,71700000,29/10/2021,2021,6.4,49,Matthias Schweighofer,Matthias Schweighofer,Nathalie Emmanuel,Stuart Martin,15,83734,7000000
The Harder They Fall,Western,139,English,111590000,48200000,03/11/2021,2021,6.6,68,Jeymes Samuel,Jonathan Majors,Zazie Beetz,Edi Gathegi,R,68100,90000000
Love Hard,Romantic Comedy,106,English,137350000,77700000,05/11/2021,2021,6.3,42,Hernan Jimenez,Nina Dobrev,Jimmy O. Yang,James Saito,15,57188,15000000
Meenakshi Sundareshwar,Romantic Comedy,141,Hindi,9130000,3900000,05/11/2021,2021,6.9,,Vivek Soni,Sanya Malhotra,Abhimanyu Dasani,Nivedita Bhargava,PG-13,18052,2000000
Father Christmas Is Back,Comedy,105,English,13780000,7900000,07/11/2021,2021,4.5,,Mick Davis,Elizabeth Hurley,John Cleese,Kelsey Grammer,PG-13,6752,8000000
Passing,Drama,99,English,7490000,4500000,10/11/2021,2021,6.7,85,Rebecca Hall,Tessa Thompson,Ruth Negga,Bill Camp,PG-13,15848,10000000
