Title,Genre,Runtime (mins),Language,Total Hours,Total Views,Release Date,Year,IMDb Rating,Metascore,Directors,Star1,Star2,Star3,Age_Rating,Num Votes,Budget ($)
The Strays,Drama,97,English,43350000,26800000,22/02/2023,2023,4.8,58,Nathaniel Martello-White,Ashley Madekwe,Bukky Bakray,Samuel Paul Small,15,10222,10000000
We Have a Ghost,Fantasy,127,English,105980000,50100000,24/02/2023,2023,6.1,53,Christopher Landon,Jahi Di'Allo Winston,David Harbour,Erica Ash,PG-13,28308,51000000
10 Days of a Good Man,Drama,124,Turkish,14830000,7200000,03/03/2023,2023,6.5,,Uluc Bayraktar,Nejat Isler,Nur Fettahoglu,Senay Gurler,15,3972,5000000
Faraway,Romantic Comedy,109,English,36640000,20200000,08/03/2023,2023,6.7,,Vanessa Jopp,Naomi Krauss,Goran Bogdan,Bahar Balci,15,4421,5000000
Luther: The Fallen Sun,Thriller,130,English,180390000,83300000,10/03/2023,2023,6.4,53,Jamie Payne,Idris Elba,Cynthia Erivo,Dermot Crowley,R,56240,30000000
The Magician's Elephant,Animation,103,English,36750000,21400000,17/03/2023,2023,6.5,53,Wendy Rogers,Noah Jupe,Mandy Patinkin,Natasia Demetriou,PG,4708,20000000
Chor Nikal Ke Bhaga,Thriller,110,Hindi,35000000,19100000,24/03/2023,2023,7.5,70,Ajay Singh,Yami Gautam,Sunny Kaushal,Indraneil Sengupta,15,50343,5000000
Murder Mystery 2,Comedy,90,English,155730000,103800000,31/03/2023,2023,5.7,44,Jeremy Garelick,Adam Sandler,Jennifer Aniston,Melanie Laurent,PG-13,58677,40000000
Chupa,Fantasy,98,English,64930000,39800000,07/04/2023,2023,5.5,48,Jonas Cuaron,Demian Bichir,Christian Slater,Ashley Ciarra,PG,6342,27000000
A Tourist's Guide to Love,Romantic Comedy,96,English,40520000,25300000,21/04/2023,2023,5.7,49,Steven K. Tsuchida,Rachael Leigh Cook,Scott Ly,Missi Pyle,PG,5489,7000000
The Mother,Action,117,English,243060000,124600000,12/05/2023,2023,5.6,45,Niki Caro,Jennifer Lopez,Lucy Paez,Joseph Fiennes,R,40124,43000000
A Beautiful Life,Drama,99,Danish,49630000,30100000,01/06/2023,2023,6.4,,Mehdi Avaz,Christopher Lund Nissen,Inga Ibsdotter Lilleaas,Sebastian Jessen,15,5474,4000000
The Wonder Weeks,Comedy-Drama,110,Dutch,8700000,4700000,09/06/2023,2023,4.7,,"Appie Boudellah, Aram van de Rest",Sallie Harmsen,Soy Kroon,Yolanthe Cabau,15,586,5000000
Extraction 2,Action,123,English,254900000,124300000,16/06/2023,2023,7,57,Sam Hargrave,Chris Hemsworth,Golshifteh Farahani,Tornike Gogrichiani,R,113950,65000000
The Perfect Find,Romantic Comedy,99,English,30100000,18200000,23/06/2023,2023,5.2,57,Numa Perrier,Gabrielle Union,Keith Powers,La La Anthony,15,2251,30000000
iNumber Number: Jozi Gold,Thriller,113,English,15500000,8200000,23/06/2023,2023,4.3,,Donovan Marsh,Lonwabo Bokamoso,Presley Chweneyagae,Noxolo Dlamini,15,393,4000000
Lust Stories 2,Drama,132,Hindi,18500000,8400000,29/06/2023,2023,6.4,,R. Balki,Tamannaah Bhatia,Vijay Varma,Neena Gupta,15,51213,5000000
Nimona,Animation,102,English,30900000,18200000,30/06/2023,2023,7.6,75,Nick Bruno,Chloe Grace Moretz,Riz Ahmed,Eugene Lee Yang,PG,24369,20000000
The Out-Laws,Action,95,English,106400000,67200000,07/07/2023,2023,5.4,36,Tyler Spindel,Adam Devine,Pierce Brosnan,Nina Dobrev,R,25994,47000000
They Cloned Tyrone,Science Fiction,119,English,36100000,18200000,21/07/2023,2023,6.7,74,Juel Taylor,John Boyega,Jamie Foxx,Kiefer Sutherland,R,19532,40000000
Happiness for Beginners,Romantic Comedy,103,English,16500000,9600000,27/07/2023,2023,6.1,48,Vicky Wight,Ellie Kemper,Luke Grimes,Blythe Danner,PG-13,6539,8000000
